number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
46,0.000000,0.000000,0.000000,0.000000,52.000000,464.000000
47,0.000000,0.000000,0.000000,0.000000,103.000000,623.000000
48,0.000000,0.000000,0.000000,0.000000,186.000000,838.000000
49,0.000000,0.000000,0.000000,0.000000,273.000000,1010.000000
50,0.000000,0.000000,0.000000,0.000000,418.000000,1251.000000
51,0.000000,0.000000,0.000000,0.000000,566.000000,1468.000000
52,0.000000,0.000000,0.000000,0.000000,757.000000,1741.000000
53,0.000000,0.000000,0.000000,3.000000,1002.000000,1983.000000
54,0.000000,0.000000,0.000000,73.000000,1271.000000,2253.000000
55,0.000000,0.000000,0.000000,226.000000,1563.000000,2356.000000
56,0.000000,0.000000,0.000000,426.000000,1847.000000,2489.000000
57,0.000000,0.000000,0.000000,657.000000,2081.000000,2583.000000
58,0.000000,0.000000,0.000000,899.000000,2439.000000,2678.000000
59,0.000000,0.000000,0.000000,1086.000000,2618.000000,2710.000000
60,0.000000,0.000000,0.000000,1328.000000,2799.000000,2838.000000
61,0.000000,0.000000,0.000000,1564.000000,3127.000000,2814.000000
62,0.000000,0.000000,0.000000,1763.000000,3183.000000,2829.000000
63,0.000000,0.000000,0.000000,2112.000000,3563.000000,2828.000000
64,0.000000,0.000000,0.000000,2461.000000,3648.000000,2642.000000
65,0.000000,0.000000,0.000000,2811.000000,3893.000000,2665.000000
66,0.000000,0.000000,0.000000,3357.000000,3999.000000,2636.000000
67,0.000000,0.000000,239.000000,3873.000000,3936.000000,2460.000000
68,0.000000,0.000000,1059.000000,4234.000000,4112.000000,2397.000000
69,0.000000,0.000000,1865.000000,4716.000000,4049.000000,2278.000000
70,0.000000,0.000000,2428.000000,5008.000000,4002.000000,2096.000000
71,0.000000,0.000000,2975.000000,5080.000000,3967.000000,2031.000000
72,0.000000,0.000000,3259.000000,5160.000000,3796.000000,1821.000000
73,0.000000,0.000000,3626.000000,5204.000000,3736.000000,1718.000000
74,0.000000,0.000000,3790.000000,5328.000000,3482.000000,1585.000000
75,0.000000,0.000000,4165.000000,5381.000000,3538.000000,1536.000000
76,0.000000,0.000000,4323.000000,5378.000000,3357.000000,1421.000000
77,0.000000,0.000000,4347.000000,5458.000000,3324.000000,1280.000000
