number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
32,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000
40,1.000000,1.000000,1.000000,1.000000,1.000000,18.000000
41,1.000000,1.000000,1.000000,1.000000,1.000000,29.000000
42,1.000000,1.000000,1.000000,1.000000,1.000000,81.000000
43,1.000000,1.000000,1.000000,1.000000,1.000000,122.000000
44,1.000000,1.000000,1.000000,1.000000,1.000000,194.000000
45,1.000000,1.000000,1.000000,1.000000,11.000000,323.000000
46,1.000000,1.000000,1.000000,1.000000,49.000000,448.000000
47,1.000000,1.000000,1.000000,1.000000,98.000000,648.000000
48,1.000000,1.000000,1.000000,1.000000,188.000000,862.000000
49,1.000000,1.000000,1.000000,1.000000,317.000000,1008.000000
50,1.000000,1.000000,1.000000,1.000000,435.000000,1302.000000
51,1.000000,1.000000,1.000000,1.000000,590.000000,1469.000000
52,1.000000,1.000000,1.000000,1.000000,734.000000,1697.000000
53,1.000000,1.000000,1.000000,2.000000,967.000000,1826.000000
54,1.000000,1.000000,1.000000,85.000000,1307.000000,2106.000000
55,1.000000,1.000000,1.000000,266.000000,1552.000000,2315.000000
56,1.000000,1.000000,1.000000,432.000000,1854.000000,2487.000000
57,1.000000,1.000000,1.000000,668.000000,2224.000000,2685.000000
58,1.000000,1.000000,1.000000,922.000000,2422.000000,2641.000000
59,1.000000,1.000000,1.000000,1083.000000,2560.000000,2732.000000
60,1.000000,1.000000,1.000000,1313.000000,2933.000000,2754.000000
61,1.000000,1.000000,1.000000,1503.000000,3137.000000,2740.000000
62,1.000000,1.000000,1.000000,1860.000000,3354.000000,2813.000000
63,1.000000,1.000000,1.000000,2089.000000,3528.000000,2790.000000
64,1.000000,1.000000,1.000000,2483.000000,3595.000000,2759.000000
65,1.000000,1.000000,1.000000,2833.000000,3925.000000,2666.000000
66,1.000000,1.000000,1.000000,3294.000000,4066.000000,2645.000000
67,1.000000,1.000000,237.000000,3792.000000,3951.000000,2589.000000
68,1.000000,1.000000,1119.000000,4315.000000,4180.000000,2385.000000
69,1.000000,1.000000,1946.000000,4635.000000,4101.000000,2299.000000
70,1.000000,1.000000,2510.000000,4948.000000,3967.000000,2096.000000
71,1.000000,1.000000,3054.000000,5017.000000,3937.000000,2007.000000
72,1.000000,1.000000,3324.000000,5221.000000,3804.000000,1920.000000
